station,temp_eve,latitude,longitude,lat_m,lon_m
KGAHIAWA29,23.45483870967742,34.98603,-83.70046,4161982.838888079,-9317492.586362764
KGAYOUNG52,23.79032258064516,34.972,-83.836,4160076.7066316498,-9332580.830144882
KNCABERD29,28.932258064516127,35.172,-79.512,4187279.8928921698,-8851235.351954767
KNCADVAN11,28.30967741935484,35.98816,-80.42826,4298992.328579297,-8953232.948589012
KNCADVAN25,27.874193548387098,35.984,-80.447,4298420.019997654,-8955319.075846478
KNCADVAN59,27.429032258064513,35.978,-80.417,4297594.628066639,-8951979.491122682
KNCADVAN6,27.116129032258065,35.91161,-80.4539,4288465.850428498,-8956087.180332953
KNCADVAN9,28.225806451612904,35.98889,-80.43589,4299092.7608416965,-8954082.316303765
KNCALBEM18,28.14516129032258,35.35321,-80.12299,4211985.17388203,-8919250.447634552
KNCALBEM28,28.94838709677419,35.342,-80.165,4210455.2523474,-8923926.979442777
KNCALBEM35,28.94516129032258,35.315,-80.086,4206771.209795309,-8915132.739670107
KNCALBEM37,29.148387096774194,35.303,-80.242,4205134.252359203,-8932498.580233859
KNCALBEM52,28.783870967741933,35.373,-80.329,4214686.597539552,-8942183.375932872
KNCALBEM57,29.31935483870968,35.306,-80.227,4205543.468954262,-8930828.787871959
KNCALBEM62,28.651612903225807,35.29853,-80.28118,4204524.547777134,-8936860.07788314
KNCALEXA2,24.951612903225808,35.75072,-82.63267,4266374.818890324,-9198626.747288615
KNCALEXA31,24.851612903225806,35.75,-82.631,4266276.05969191,-9198440.843738988
KNCALEXA64,25.874193548387098,35.731,-82.625,4263670.236946329,-9197772.92679423
KNCANGIE29,28.396774193548385,35.515,-78.621,4234089.704846643,-8752049.685657961
KNCANGIE31,28.16774193548387,35.446,-78.679,4224657.158897482,-8758506.216123972
KNCANGIE37,28.103225806451615,35.51806,-78.59363,4234508.205368598,-8749002.871194951
KNCANGIE44,28.212903225806453,35.501,-78.713,4232175.199976303,-8762291.078810941
KNCAPEX1,27.838709677419356,35.76965,-78.8533,4268971.683456735,-8777909.20336924
KNCAPEX105,28.812903225806455,35.73933,-78.82082,4264812.607945127,-8774293.546308272
KNCAPEX113,29.63225806451613,35.744,-78.896,4265453.101112884,-8782662.545626111
KNCAPEX119,28.561290322580643,35.738,-78.88,4264630.204558556,-8780881.433773419
KNCAPEX122,29.041935483870965,35.726,-78.917,4262984.597450521,-8785000.25493277
KNCAPEX127,28.57741935483871,35.744,-78.903,4265453.101112884,-8783441.782061664
KNCAPEX132,29.493548387096773,35.713,-78.863,4261202.136136119,-8778989.002429932
KNCAPEX150,27.361290322580647,35.725,-78.87,4262847.4747158345,-8779768.238865487
KNCAPEX175,28.26129032258065,35.729,-78.847,4263395.975983192,-8777207.890577242
KNCAPEX177,28.270967741935483,35.733,-78.885,4263944.504796675,-8781438.031227386
KNCAPEX178,28.10967741935484,35.693,-78.789,4258460.455584948,-8770751.360111231
KNCAPEX181,27.825806451612905,35.672,-78.815,4255582.430840861,-8773645.666871855
KNCAPEX191,28.0,35.673,-78.769,4255719.4624640355,-8768524.970295366
KNCAPEX198,29.683870967741935,35.741,-78.901,4265041.64508378,-8783219.143080078
KNCAPEX208,28.90967741935484,35.704,-78.91,4259968.294775193,-8784221.018497217
KNCAPEX211,27.43548387096774,35.64861,-78.8857,4252377.75069473,-8781515.954870941
KNCAPEX215,28.625806451612902,35.646,-78.729,4252020.210985404,-8764072.190663636
KNCAPEX231,27.483870967741936,35.68513,-78.72397,4257381.79279921,-8763512.253624944
KNCAPEX235,28.154838709677417,35.67,-78.817,4255308.372744814,-8773868.305853441
KNCAPEX241,28.493548387096773,35.79706,-78.9482,4272732.951293071,-8788473.423045522
KNCAPEX244,27.961290322580645,35.732,-78.835,4263807.3700105585,-8775872.056687722
KNCAPEX245,28.68064516129032,35.72832,-78.88013,4263302.728824512,-8780895.905307222
KNCAPEX250,27.574193548387097,35.694,-78.778,4258597.523280397,-8769526.845712505
KNCAPEX267,29.458064516129035,35.771,-78.903,4269156.903428375,-8783441.782061664
KNCAPEX268,27.932258064516127,35.754,-78.886,4266824.733211833,-8781549.35071818
KNCAPEX27,28.096774193548388,35.71312,-78.89859,4261218.588295461,-8782950.863107266
KNCAPEX271,27.661290322580644,35.684,-78.797,4257226.9236516375,-8771641.916037578
KNCAPEX273,29.89032258064516,35.762,-78.899,4267922.162997573,-8782996.504098492
KNCAPEX31,28.5258064516129,35.73028,-78.83038,4263571.502206229,-8775357.760640258
KNCAPEX32,27.88064516129032,35.73079,-78.86666,4263641.439221597,-8779396.431766236
KNCAPEX33,28.967741935483872,35.73052,-78.87565,4263604.413687088,-8780397.193988467
KNCAPEX53,28.229032258064517,35.69361,-78.81941,4258544.066674741,-8774136.585826255
KNCAPEX93,28.322580645161292,35.72998,-78.87918,4263530.362994615,-8780790.15179097
KNCAPEX95,28.458064516129035,35.72164,-78.86753,4262386.754934919,-8779493.279723229
KNCARAPA19,28.561290322580643,34.983,-76.838,4161571.151884079,-8553567.033573555
KNCARCHD16,28.751612903225805,35.91,-79.935,4288244.566924166,-8898323.496560322
KNCARDEN42,24.94838709677419,35.45663,-82.60021,4226109.790394175,-9195013.316617465
KNCARDEN67,25.396774193548385,35.45,-82.511,4225203.7521830285,-9185082.504843794
KNCARDEN71,24.616129032258065,35.454,-82.591,4225750.37263788,-9193988.064107258
KNCASHEB15,27.212903225806453,35.72665,-79.82845,4263073.728151152,-8886462.4048163
KNCASHEB17,28.496774193548383,35.66828,-79.83131,4255072.688274062,-8886780.778559968
KNCASHEB49,28.416129032258063,35.603,-79.89,4246131.390265085,-8893314.119474625
KNCASHEB68,27.596774193548388,35.659,-79.931,4253801.175937061,-8897878.21859715
KNCASHEB69,27.648387096774194,35.771,-79.805,4269156.903428375,-8883851.962757198
KNCASHEB75,27.374193548387098,35.739,-79.779,4264767.349677786,-8880957.655996572
KNCASHEB77,27.548387096774192,35.716,-79.73,4261613.447551624,-8875503.000947703
KNCASHEB91,28.112903225806452,35.655,-79.741,4253253.15584733,-8876727.515346428
KNCASHEV140,25.22258064516129,35.48944,-82.55288,4230594.617466458,-9189744.565118218
KNCASHEV144,25.612903225806452,35.60634,-82.55824,4246588.687583943,-9190341.23758887
KNCASHEV146,25.73548387096774,35.61926,-82.55903,4248357.813874945,-9190429.179986598
KNCASHEV148,21.387096774193548,35.66611,-82.49852,4254775.349413129,-9183693.237598695
KNCASHEV167,25.483870967741936,35.581,-82.505,4243119.729002212,-9184414.587899035
KNCASHEV175,23.65806451612903,35.623,-82.5,4248869.9827184575,-9183857.990445068
KNCASHEV176,24.27741935483871,35.639,-82.517,4251061.349890904,-9185750.421788555
KNCASHEV179,24.55806451612903,35.558,-82.476,4239972.058489816,-9181186.32266603
KNCASHEV195,25.31935483870968,35.635,-82.596,4250513.466975332,-9194544.661561223
KNCASHEV196,26.429032258064513,35.639,-82.573,4251061.349890904,-9191984.313272977
KNCASHEV20,25.1,35.6528,-82.5514,4252951.756497039,-9189579.812271845
KNCASHEV201,24.44193548387097,35.545,-82.468,4238193.339915188,-9180295.766739685
KNCASHEV202,26.287096774193547,35.603,-82.556,4246131.390265085,-9190091.881929493
KNCASHEV205,25.583870967741937,35.603,-82.561,4246131.390265085,-9190648.479383461
KNCASHEV22,26.183870967741935,35.64568,-82.59791,4251976.375503035,-9194757.281788638
KNCASHEV229,24.654838709677417,35.597,-82.459,4245309.946014414,-9179293.891322546
KNCASHEV236,25.470967741935485,35.61,-82.542,4247089.819740657,-9188533.409058386
